"O'Connel",Sean,3,"English Literature"
Newton,Isaak,8399888,Physics
Hyun,Olympia,8946,"Advanced Functional Materials"
Jaso,Erasmo,789453,"Advanced Master's in Business Engineering Energy"
Holdren,Dale,5464,"Master's in Water Engineering"
Willey,Patrina,7801,"Air Quality Control, Solid Waste and Waste Water Process Engineering"
Kegley,Cletus,486,"Nursing"
Foree,Leighann,876354,"Human Ecology"
Wrenn,Kathrine,46863,"Human Ecology"
Duck,Donald,1236,Geology
Belcher,Abel,79884,Business
Marrufo,Earlie,8945,"Religious Studies"
Hepler,Many ,2845,"Educational Studies"
Duck,Dagobert,1234,Mathematics
